,№ заявки,Цех,Инв. номер,Год выпуска,Оборудование,Модель,Дата открытия,Описание неисправ.,Причина неисправности,Принятые меры,Дата закрытия заявки,data,day,month,year,temp,длительность ремонта,Категория оборудования
14649,19-01-106,ЦЕХ 26,5/48,1991.0,токарно-револьверный ст-к с чпу,1В340Ф30,2019-01-24,рассогласование по осям,сбой параметров чпу,восстановление параметров,2019-01-24,2019-01-24,24.0,1.0,2019.0,-11.0,0 days,Р
14650,19-01-108,ЦЕХ 28,3/210,1992.0,универсально-круглошлифовальный,S 40,2019-01-24,снять платы и переставить на ш-3/221,перестановка с одного на другой станок,платы переставлены,2019-02-04,2019-01-24,24.0,1.0,2019.0,-11.0,11 days,Ш
14651,19-01-109,ЦЕХ 16,6-620,2005.0,установка электронно-лучевая с чпу,EBOCAM KS125-2G150KM-CNC,2019-01-24,подклинивание стола вращателя,шумы из-за нехватки смазки,смазка подшипников стола,2019-01-25,2019-01-24,24.0,1.0,2019.0,-11.0,1 days,У
14652,19-01-114,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-01-25,нет перпендикулярн.шпинд.и инстр-та,нет посадки рев.головы,регулировка револьв.головы,2019-01-30,2019-01-25,25.0,1.0,2019.0,-11.0,5 days,Р
14653,19-01-112,ЦЕХ 28,5-750,2002.0,станок для обработки в центрах с чпу,MASTURN 50 CNC / 800,2019-01-25,сбой,сбой параметров,восстановление параметров,2019-01-30,2019-01-25,25.0,1.0,2019.0,-11.0,5 days,Т
14654,19-01-113,ЦЕХ 41,5-105,1989.0,уhиверсальhо-заточhой ст-к с чпу,ГЦ-6,2019-01-25,падает голова,сбой чпу,перезагрузка,2019-01-28,2019-01-25,25.0,1.0,2019.0,-11.0,3 days,И
14655,19-01-115,ЦЕХ 3,5/366,1983.0,эл.эpoз.koпиp.пpoшиb.ct.,4Е-723,2019-01-25,горят электроды,н/р силовые блоки,ремонт силовых блоков,2019-01-29,2019-01-25,25.0,1.0,2019.0,-11.0,4 days,Э
14656,19-01-116,ЦЕХ 20,5/550,1997.0,электроэрозионный станок,COMPACT-I,2019-01-25,остановка-ош.кз,плохой контакт в разъеме,восстановление контакта,2019-01-29,2019-01-25,25.0,1.0,2019.0,-11.0,4 days,Э
14657,19-01-117,ЦЕХ 20,5/529,2000.0,электроэрозионный станок,Integral-5,2019-01-25,течет рабоч.ж-сть с шпинделя,треб-ся ремонт изолятора,демонтаж узла вращения,2019-01-25,2019-01-25,25.0,1.0,2019.0,-11.0,0 days,Э
14660,19-01-128,ЦЕХ 22,4-590,2002.0,плоско-шлифовальный стаок,3Д711ВФ11исп28,2019-01-28,плата управления - сигнал не приходит,вышла из строя плата управления поперечной подачи,ремонт платы,2019-01-29,2019-01-28,28.0,1.0,2019.0,-7.0,1 days,Ш
14661,19-01-126,ЦЕХ 19,8-152,2013.0,профилешлифовальный станок с чпу,P600/800G,2019-01-28,ош пневмосистемы,не обнаружена,при проверки - сбоев нет,2019-01-29,2019-01-28,28.0,1.0,2019.0,-7.0,1 days,Ш
14662,19-01-127,Отдел станков с программным управлением,4-356,2013.0,станок пятиосевой шлифовальный заточной,TX7+,2019-01-28,ось с идет рывками,отсутствие контакта в соединении кабелей,профилактические работы по электронике,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,И
14663,19-01-122,Отдел станков с программным управлением,4-356,2013.0,станок пятиосевой шлифовальный заточной,TX7+,2019-01-28,ось с движется рывками,отсутствие контакта в соединении кабелей,восстановление контакта,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,И
14664,19-01-123,ЦЕХ 41,8/130,1994.0,станок резьбошлифовальный с чпу,RG-500,2019-01-28,срабатывание предохранителя на г/муфте,неправильное направление вращения мотора,диагностика,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,Ш
14665,19-01-124,ЦЕХ 16,5-749,2010.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-28,ош по хол-ку,утечка фреона,заправка фреоном,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,Ф
14666,19-01-121,ЦЕХ 15,3-646,2001.0,эл.печь вакуумная,VFC-5.24RAK,2019-01-28,замена клапанов,естественный износ,замена клапанов,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,Г
14667,19-01-119,ЦЕХ 15,3-646,2001.0,эл.печь вакуумная,VFC-5.24RAK,2019-01-28,замена клапанов,естественный износ,замена клапанов,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,Г
14668,19-01-120,ЦЕХ 15,3-654,2002.0,эл.печь вакуумная с газ. агрегатом,VDNT,2019-01-28,замена клапанов,естественный износ,замена клапанов,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,Г
14669,19-01-118,ЦЕХ 15,3-654,2002.0,эл.печь вакуумная с газ. агрегатом,VDNT,2019-01-28,замена клапанов,естественный износ,замена клапанов,2019-01-28,2019-01-28,28.0,1.0,2019.0,-7.0,0 days,Г
14670,19-01-125,ЦЕХ 43,4/562,1990.0,станок плоскошлифовальный,ОПТИМАЛЬ VA-II,2019-01-28,н/р в авт режиме,треб.испытвние платы на ст-ке другого цеха,диагностика работы ст-ка,2019-01-30,2019-01-28,28.0,1.0,2019.0,-7.0,2 days,Ш
14671,19-01-129,ЦЕХ 28,5/640,1987.0,beptиk-фpeзep.ct. с чпу,МА-655А2,2019-01-29,не видит положение магазина,плохой контакт сигнального провода датчика,восстановление контакта,2019-01-29,2019-01-29,29.0,1.0,2019.0,-2.0,0 days,Ф
14672,19-01-137,ЦЕХ 19,5/507,1985.0,tokaphый п/abtom. с чпу,1П756ДФ101,2019-01-29,ош оси х,сбой привода,ремонт привода,2019-01-30,2019-01-29,29.0,1.0,2019.0,-2.0,1 days,Т
14673,19-01-130,ЦЕХ 22,5/50,1992.0,токарно-револьверный станок с осу,1В340Ф30,2019-01-29,привод шпинделя,загрязнение тахогенератора гл двигателя,читстка двигателя,2019-02-06,2019-01-29,29.0,1.0,2019.0,-2.0,8 days,Р
14674,19-01-134,ЦЕХ 22,5-771,2012.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-29,ош по хол-ку,скачек напряжения,перезапуск,2019-01-29,2019-01-29,29.0,1.0,2019.0,-2.0,0 days,Ф
14675,19-01-135,ЦЕХ 22,5-772,2012.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-29,ош по хол-ку,скачек напряжения,перезапуск,2019-01-29,2019-01-29,29.0,1.0,2019.0,-2.0,0 days,Ф
14676,19-01-132,ЦЕХ 22,5-772,2012.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-29,не вкл,скачек напряжения,перезапуск,2019-01-29,2019-01-29,29.0,1.0,2019.0,-2.0,0 days,Ф
14677,19-01-131,ЦЕХ 22,5-771,2012.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-29,не вкл,скачек напряжения,перезапуск,2019-01-29,2019-01-29,29.0,1.0,2019.0,-2.0,0 days,Ф
14678,19-01-133,ЦЕХ 20,5/477,1988.0,эл.эpoзиoh.копиов.прошив. ст-к с пу,4Е-723.01Ф1,2019-01-29,самопроизвольное отключение,не работ.поплавок наполнения ванны,ремонт реле км-13,2019-01-30,2019-01-29,29.0,1.0,2019.0,-2.0,1 days,Э
14679,19-01-136,ЦЕХ 20,5/529,2000.0,электроэрозионный станок,Integral-5,2019-01-29,сборка шпинделя,износ уплотнений,"ремонт,замена уплотнений поршня п/цилиндра замены инстр-та",2019-02-04,2019-01-29,29.0,1.0,2019.0,-2.0,6 days,Э
14680,19-01-138,ЦЕХ 3,3-81,2003.0,"комплекс,пресс модельный с запирающим устройством",55-25-18,2019-01-29,монтаж панели,треб.монтаж представит.ф-мы,диагностика работы ст-ка,2019-02-05,2019-01-29,29.0,1.0,2019.0,-2.0,7 days,Л
14681,19-01-139,ЦЕХ 41,4-351,2002.0,заточной станок с чпу,MGX,2019-01-30,монтаж тормозн.муфты оси z,износ тормозной муфты оси,замена тормозной муфты на новую,2019-02-06,2019-01-30,30.0,1.0,2019.0,-2.0,7 days,И
14682,19-01-140,ЦЕХ 26,5-782,2014.0,обрабатывающий центр,E160A,2019-01-30,установка блока,блок из ремонта,установка блока,2019-01-30,2019-01-30,30.0,1.0,2019.0,-2.0,0 days,Т
14683,19-01-141,ЦЕХ 8,3-246,2013.0,универсальный круглошлифовальный станок,S 33,2019-01-30,течет масло,утечка масла,диагностика утечки,2019-01-31,2019-01-30,30.0,1.0,2019.0,-2.0,1 days,Ш
14684,19-01-142,ЦЕХ 5,5-766,2011.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-30,падает вертикально по оси z,неконтакт разъема,восстановление контакта разъема в чпу,2019-02-08,2019-01-30,30.0,1.0,2019.0,-2.0,9 days,Ф
14685,19-01-147,ЦЕХ 5,5-766,2011.0,центр вертикально-фрезерный обрабатывающий,A-6,2019-01-30,люфт оси z,люфт- в допустим.норме,диагностика раб.оси z,2019-02-08,2019-01-30,30.0,1.0,2019.0,-2.0,9 days,Ф
14686,19-01-145,ЦЕХ 28,5-235,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-01-30,ошибка 19,не работает холодильник,диагностика раб.ст-ка,2019-01-30,2019-01-30,30.0,1.0,2019.0,-2.0,0 days,А
14687,19-01-146,ЦЕХ 28,5-235,2011.0,5-ти осевой обрабатывающий центр,PICOMAX 825 VERSA,2019-01-30,не раб-т станция охлаждения,треб. замена контроллера управления,диагностика работы,2019-01-30,2019-01-30,30.0,1.0,2019.0,-2.0,0 days,А
14688,19-01-144,ЦЕХ 41,5-729,2002.0,tokaphый ctанок с чпу,SL-20T,2019-01-30,не раб.система привода ст-ка,недостаточный зажим прутка,диагностика раб.станка,2019-02-04,2019-01-30,30.0,1.0,2019.0,-2.0,5 days,Т
14689,19-01-143,ЦЕХ 9,1-391,2013.0,пресс электровинтовой,SPR 400 So,2019-01-30,не срабатывает реле,неисправн.элементов управления прессом,ремонт эл.автоматики,2019-01-31,2019-01-30,30.0,1.0,2019.0,-2.0,1 days,Д
14690,19-01-148,ЦЕХ 39,6-258,2010.0,bakуm.эл.пeчь,2.OVP-4035/36 MHV,2019-01-31,не закрываются двери,не точно установлен датчик положения пневмоцилиндра,диагностика работы пневматики,2019-01-31,2019-01-31,31.0,1.0,2019.0,1.0,0 days,Г
14691,19-01-154,ЦЕХ 26,5/36,1989.0,tokapho-peboльb.c beptиk.ocью с чпу,1В340Ф 30М,2019-01-31,выбивает привод,выход из строя привода,ремонт привода,2019-02-06,2019-01-31,31.0,1.0,2019.0,1.0,6 days,Р
14692,19-01-151,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-01-31,проворачивается рев.голова,некоректная работа рев.головы,регулировка револьв.головы,2019-01-31,2019-01-31,31.0,1.0,2019.0,1.0,0 days,Р
14693,19-01-152,ЦЕХ 26,5/38,1989.0,tokapho-peboльb.ct. с чпу,1В340Ф30РМ,2019-01-31,проворачивается рев.голова,некоректная работа рев.головы,регулировка рев.головы,2019-01-31,2019-01-31,31.0,1.0,2019.0,1.0,0 days,Р
14694,19-01-150,ЦЕХ 39,5-615,2011.0,станок,AQ-750L,2019-01-31,замена драйверов,выход из строя,замена драйвера,2019-02-04,2019-01-31,31.0,1.0,2019.0,1.0,4 days,Э
